time,open,high,low,close,Volume
2024-09-23T15:31:00Z,1.15,1.17,1.15,1.17,48809
2024-09-23T15:32:00Z,1.165,1.18,1.15,1.17,16527
2024-09-23T15:33:00Z,1.17,1.18,1.15,1.16,44068
2024-09-23T15:34:00Z,1.17,1.17,1.15,1.16,7493
2024-09-23T15:35:00Z,1.16,1.16,1.15,1.15,18929
2024-09-23T15:36:00Z,1.16,1.16,1.13,1.14,25776
2024-09-23T15:37:00Z,1.13,1.13,1.13,1.13,246
2024-09-23T15:38:00Z,1.14,1.16,1.14,1.15,23572
2024-09-23T15:39:00Z,1.15,1.15,1.15,1.15,100
2024-09-23T15:40:00Z,1.14,1.14,1.13,1.14,7050
2024-09-23T15:41:00Z,1.13,1.13,1.12,1.12,16260
2024-09-23T15:42:00Z,1.12,1.12,1.11,1.11,16394
2024-09-23T15:43:00Z,1.12,1.13,1.11,1.12,21630
2024-09-23T15:45:00Z,1.13,1.13,1.13,1.13,300
2024-09-23T15:46:00Z,1.12,1.125,1.09,1.09,45869
2024-09-23T15:47:00Z,1.09,1.11,1.08,1.11,76257
2024-09-23T15:48:00Z,1.11,1.11,1.09,1.09,18340
2024-09-23T15:49:00Z,1.09,1.09,1.09,1.09,2040
2024-09-23T15:50:00Z,1.1,1.1,1.1,1.1,46
2024-09-23T15:51:00Z,1.09,1.09,1.09,1.09,565
2024-09-23T15:52:00Z,1.1,1.1,1.1,1.1,1
2024-09-23T15:54:00Z,1.1,1.1,1.09,1.09,5498
2024-09-23T15:55:00Z,1.08,1.08,1.07,1.07,23555
2024-09-23T15:56:00Z,1.07,1.08,1.06,1.08,58735
2024-09-23T15:57:00Z,1.09,1.1,1.08,1.1,15161
2024-09-23T15:58:00Z,1.1,1.13,1.1,1.13,49062
2024-09-23T15:59:00Z,1.14,1.15,1.13,1.14,20782
2024-09-23T16:00:00Z,1.14,1.14,1.14,1.14,400
2024-09-23T16:01:00Z,1.14,1.14,1.11,1.11,6189
2024-09-23T16:02:00Z,1.11,1.11,1.11,1.11,4065
2024-09-23T16:03:00Z,1.11,1.11,1.1,1.1,12785
2024-09-23T16:05:00Z,1.11,1.11,1.1,1.11,5094
2024-09-23T16:06:00Z,1.11,1.14,1.11,1.14,16427
2024-09-23T16:07:00Z,1.13,1.14,1.13,1.13,14917
2024-09-23T16:08:00Z,1.13,1.13,1.13,1.13,12220
2024-09-23T16:09:00Z,1.13,1.13,1.13,1.13,2085
2024-09-23T16:10:00Z,1.14,1.16,1.13,1.16,34872
2024-09-23T16:11:00Z,1.16,1.16,1.15,1.15,15032
2024-09-23T16:12:00Z,1.15,1.16,1.15,1.15,1216
2024-09-23T16:13:00Z,1.15,1.15,1.14,1.15,26259
2024-09-23T16:14:00Z,1.15,1.15,1.14,1.14,2302
2024-09-23T16:15:00Z,1.14,1.14,1.13,1.14,6990
2024-09-23T16:16:00Z,1.14,1.14,1.14,1.14,896
2024-09-23T16:17:00Z,1.13,1.14,1.13,1.14,6142
2024-09-23T16:18:00Z,1.15,1.17,1.14,1.16,23875
2024-09-23T16:19:00Z,1.16,1.18,1.16,1.17,20544
2024-09-23T16:20:00Z,1.17,1.17,1.17,1.17,9263
2024-09-23T16:21:00Z,1.17,1.17,1.16,1.16,5268
2024-09-23T16:22:00Z,1.15,1.16,1.15,1.16,9087
2024-09-23T16:23:00Z,1.155,1.155,1.13,1.13,13273
2024-09-23T16:24:00Z,1.135,1.135,1.12,1.13,4634
2024-09-23T16:25:00Z,1.12,1.12,1.12,1.12,8121
2024-09-23T16:26:00Z,1.11,1.12,1.11,1.12,41
2024-09-23T16:27:00Z,1.12,1.13,1.12,1.125,9511
2024-09-23T16:28:00Z,1.13,1.13,1.12,1.13,830
2024-09-23T16:30:00Z,1.12,1.12,1.12,1.12,46
2024-09-23T16:31:00Z,1.13,1.14,1.13,1.14,2851
2024-09-23T16:32:00Z,1.13,1.13,1.13,1.13,700
2024-09-23T16:34:00Z,1.13,1.13,1.13,1.13,875
