interval,macd_fast,macd_slow,macd_signal,profit,profit_%,profit_%_per_day,APR_%,total_trades,trades_per_day,days_of_backtest,calc_date,script_version,index_number
1min,10,10,10,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,0
1min,10,10,13,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,1
1min,10,10,16,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,2
1min,10,10,19,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,3
1min,10,13,10,0.0,0.0,0.0,0.0,123,4.92,25,2024-11-03,2.07,4
1min,10,13,13,0.0,0.0,0.0,0.0,111,4.44,25,2024-11-03,2.07,5
1min,10,13,16,0.0,0.0,0.0,0.0,103,4.12,25,2024-11-03,2.07,6
1min,10,13,19,0.0,0.0,0.0,0.0,95,3.8,25,2024-11-03,2.07,7
1min,10,16,10,0.0,0.0,0.0,0.0,115,4.6,25,2024-11-03,2.07,8
1min,10,16,13,0.0,0.0,0.0,0.0,103,4.12,25,2024-11-03,2.07,9
1min,10,16,16,0.0,0.0,0.0,0.0,93,3.72,25,2024-11-03,2.07,10
1min,10,16,19,0.0,0.0,0.0,0.0,81,3.24,25,2024-11-03,2.07,11
1min,10,19,10,0.0,0.0,0.0,0.0,113,4.52,25,2024-11-03,2.07,12
1min,10,19,13,0.0,0.0,0.0,0.0,95,3.8,25,2024-11-03,2.07,13
1min,10,19,16,0.0,0.0,0.0,0.0,81,3.24,25,2024-11-03,2.07,14
1min,10,19,19,0.0,0.0,0.0,0.0,79,3.16,25,2024-11-03,2.07,15
1min,13,10,10,11.433853284821467,11.433853284821467,0.4573541313928587,166.9342579583934,123,4.92,25,2024-11-03,2.07,16
1min,13,10,13,2.3592542004380164,2.3592542004380164,0.09437016801752066,34.445111326395036,111,4.44,25,2024-11-03,2.07,17
1min,13,10,16,-7.958998579743209,-7.958998579743209,-0.3183599431897284,-116.20137926425085,103,4.12,25,2024-11-03,2.07,18
1min,13,10,19,-8.465784345975209,-8.465784345975209,-0.3386313738390083,-123.60045145123804,95,3.8,25,2024-11-03,2.07,19
1min,13,13,10,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,20
1min,13,13,13,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,21
1min,13,13,16,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,22
1min,13,13,19,0.0,0.0,0.0,0.0,0,0.0,25,2024-11-03,2.07,23
1min,13,16,10,0.0,0.0,0.0,0.0,103,4.12,25,2024-11-03,2.07,24
1min,13,16,13,0.0,0.0,0.0,0.0,85,3.4,25,2024-11-03,2.07,25
1min,13,16,16,0.0,0.0,0.0,0.0,79,3.16,25,2024-11-03,2.07,26
