time,Type,Price,Position
2024-09-23 15:33:00+00:00,buy,1.16,0.0
2024-09-23 15:57:00+00:00,sell,1.1,1.0
2024-09-23 16:23:00+00:00,buy,1.13,0.0
2024-09-23 16:37:00+00:00,sell,1.16,1.0
2024-09-23 16:43:00+00:00,buy,1.13,0.0
2024-09-23 16:47:00+00:00,sell,1.15,1.0
2024-09-23 16:50:00+00:00,buy,1.13,0.0
2024-09-23 17:14:00+00:00,sell,1.13,1.0
2024-09-23 17:26:00+00:00,buy,1.12,0.0
2024-09-23 18:00:00+00:00,sell,1.08,1.0
2024-09-23 18:17:00+00:00,buy,1.1,0.0
2024-09-23 18:27:00+00:00,sell,1.11,1.0
2024-09-23 18:30:00+00:00,buy,1.1,0.0
2024-09-23 18:39:00+00:00,sell,1.11,1.0
2024-09-23 18:52:00+00:00,buy,1.16,0.0
2024-09-23 19:34:00+00:00,sell,1.06,1.0
2024-09-24 13:30:00+00:00,buy,1.04,0.0
2024-09-24 13:56:00+00:00,sell,1.04,1.0
2024-09-24 13:57:00+00:00,buy,1.0,0.0
2024-09-24 14:03:00+00:00,sell,1.02,1.0
2024-09-24 14:19:00+00:00,buy,0.98,0.0
2024-09-24 14:20:00+00:00,sell,0.994,1.0
2024-09-24 14:21:00+00:00,buy,0.96,0.0
2024-09-24 14:27:00+00:00,sell,0.99,1.0
2024-09-24 14:51:00+00:00,buy,1.0,0.0
2024-09-24 15:00:00+00:00,sell,1.08,1.0
2024-09-24 15:18:00+00:00,buy,1.06,0.0
2024-09-24 15:53:00+00:00,sell,1.04,1.0
2024-09-24 16:03:00+00:00,buy,1.02,0.0
2024-09-24 16:46:00+00:00,sell,0.995,1.0
2024-09-24 18:15:00+00:00,buy,1.03,0.0
2024-09-24 19:24:00+00:00,sell,1.06,1.0
2024-09-24 19:43:00+00:00,buy,1.07,0.0
2024-09-25 13:58:00+00:00,sell,1.12,1.0
2024-09-25 14:29:00+00:00,buy,1.16,0.0
2024-09-25 15:22:00+00:00,sell,1.14,1.0
2024-09-25 16:04:00+00:00,buy,1.13,0.0
2024-09-25 16:19:00+00:00,sell,1.15,1.0
2024-09-25 16:59:00+00:00,buy,1.13,0.0
2024-09-25 17:22:00+00:00,sell,1.14,1.0
2024-09-25 18:21:00+00:00,buy,1.19,0.0
2024-09-25 18:23:00+00:00,sell,1.21,1.0
2024-09-25 18:35:00+00:00,buy,1.21,0.0
2024-09-26 13:50:00+00:00,sell,1.15,1.0
2024-09-26 14:14:00+00:00,buy,1.09,0.0
2024-09-26 14:40:00+00:00,sell,1.12,1.0
2024-09-26 18:00:00+00:00,buy,1.22,0.0
2024-09-26 18:58:00+00:00,sell,1.27,1.0
2024-09-26 19:05:00+00:00,buy,1.26,0.0
2024-09-26 19:37:00+00:00,sell,1.3,1.0
2024-09-26 19:43:00+00:00,buy,1.28,0.0
2024-09-26 19:56:00+00:00,sell,1.29,1.0
2024-09-26 19:59:00+00:00,buy,1.25,0.0
2024-09-27 13:36:00+00:00,sell,1.27,1.0
2024-09-27 13:47:00+00:00,buy,1.25,0.0
2024-09-27 14:04:00+00:00,sell,1.3,1.0
2024-09-27 14:22:00+00:00,buy,1.27,0.0
2024-09-27 14:28:00+00:00,sell,1.32,1.0
2024-09-27 14:46:00+00:00,buy,1.3,0.0
2024-09-27 16:10:00+00:00,sell,1.3,1.0
2024-09-27 17:01:00+00:00,buy,1.28,0.0
2024-09-27 17:35:00+00:00,sell,1.29,1.0
2024-09-27 19:06:00+00:00,buy,1.28,0.0
2024-09-30 13:41:00+00:00,sell,1.29,1.0
2024-09-30 13:59:00+00:00,buy,1.23,0.0
2024-09-30 14:15:00+00:00,sell,1.25,1.0
2024-09-30 15:11:00+00:00,buy,1.27,0.0
2024-09-30 18:48:00+00:00,sell,1.24,1.0
2024-09-30 19:39:00+00:00,buy,1.22,0.0
2024-09-30 19:52:00+00:00,sell,1.26,1.0
2024-10-01 13:37:00+00:00,buy,1.2,0.0
2024-10-01 14:28:00+00:00,sell,1.15,1.0
2024-10-02 13:37:00+00:00,buy,1.26,0.0
2024-10-02 14:02:00+00:00,sell,1.265,1.0
2024-10-02 14:20:00+00:00,buy,1.34,0.0
2024-10-02 14:22:00+00:00,sell,1.36,1.0
2024-10-02 14:31:00+00:00,buy,1.32,0.0
2024-10-02 15:16:00+00:00,sell,1.33,1.0
2024-10-02 15:39:00+00:00,buy,1.4,0.0
2024-10-02 15:44:00+00:00,sell,1.43,1.0
2024-10-02 15:45:00+00:00,buy,1.4,0.0
2024-10-02 16:17:00+00:00,sell,1.4,1.0
2024-10-02 16:53:00+00:00,buy,1.49,0.0
2024-10-02 17:34:00+00:00,sell,1.44,1.0
2024-10-02 17:38:00+00:00,buy,1.37,0.0
2024-10-02 17:57:00+00:00,sell,1.36,1.0
2024-10-02 18:01:00+00:00,buy,1.33,0.0
2024-10-02 18:06:00+00:00,sell,1.34,1.0
2024-10-02 18:12:00+00:00,buy,1.32,0.0
2024-10-02 18:23:00+00:00,sell,1.35,1.0
2024-10-02 19:34:00+00:00,buy,1.41,0.0
2024-10-03 14:20:00+00:00,sell,1.25,1.0
2024-10-03 19:03:00+00:00,buy,1.21,0.0
2024-10-03 19:12:00+00:00,sell,1.22,1.0
2024-10-03 19:17:00+00:00,buy,1.21,0.0
2024-10-03 19:27:00+00:00,sell,1.23,1.0
2024-10-04 13:54:00+00:00,buy,1.21,0.0
2024-10-04 19:29:00+00:00,sell,1.21,1.0
2024-10-07 13:50:00+00:00,buy,1.17,0.0
2024-10-07 14:37:00+00:00,sell,1.13,1.0
2024-10-07 15:14:00+00:00,buy,1.09,0.0
2024-10-07 15:29:00+00:00,sell,1.11,1.0
2024-10-08 13:39:00+00:00,buy,1.02,0.0
2024-10-08 14:15:00+00:00,sell,0.9233,1.0
2024-10-08 17:02:00+00:00,buy,0.86,0.0
2024-10-08 17:54:00+00:00,sell,0.82,1.0
2024-10-09 16:57:00+00:00,buy,0.8313,0.0
2024-10-11 14:35:00+00:00,sell,0.79,1.0
2024-10-15 17:32:00+00:00,buy,0.82,0.0
2024-10-16 14:37:00+00:00,sell,0.838,1.0
2024-10-16 15:58:00+00:00,buy,0.85,0.0
2024-10-16 19:38:00+00:00,sell,0.86,1.0
2024-10-17 13:33:00+00:00,buy,0.83,0.0
2024-10-17 14:26:00+00:00,sell,0.8862,1.0
2024-10-18 15:24:00+00:00,buy,0.938,0.0
